address,network,netgroup,asn
180.129.75.137,ipv4,180.129.0.0/16,AS4773
67.82.136.177,ipv4,67.82.0.0/16,AS6128
109.123.235.225,ipv4,109.123.0.0/16,AS141995
77.169.172.21,ipv4,77.169.0.0/16,AS1136
110.141.252.80,ipv4,110.141.0.0/16,AS1221
27.159.150.91,ipv4,27.159.0.0/16,AS4134
144.137.208.140,ipv4,144.137.0.0/16,AS1221
138.201.30.252,ipv4,138.201.0.0/16,AS24940
47.196.194.150,ipv4,47.196.0.0/16,AS5650
89.147.108.200,ipv4,89.147.0.0/16,AS44925
38.99.82.238,ipv4,38.99.0.0/16,AS174
168.119.129.100,ipv4,168.119.0.0/16,AS24940
188.134.6.84,ipv4,188.134.0.0/16,AS41733
88.137.109.62,ipv4,88.137.0.0/16,AS15557
193.222.130.14,ipv4,193.222.0.0/16,AS29208
192.95.31.84,ipv4,192.95.0.0/16,AS16276
209.137.198.99,ipv4,209.137.0.0/16,AS21586
94.198.55.181,ipv4,94.198.0.0/16,AS56694
213.193.83.252,ipv4,213.193.0.0/16,AS6730
76.10.157.54,ipv4,76.10.0.0/16,AS5645
2806:261:498:3f6:f71e:7cb4:5ab2:f4e9,ipv6,2806:261::/32,AS5610
174.138.57.168,ipv4,174.138.0.0/16,AS14061
84.87.37.53,ipv4,84.87.0.0/16,AS1136
51.68.36.57,ipv4,51.68.0.0/16,AS16276
2a0e:fa00:0:8f::1,ipv6,2a0e:fa00::/32,AS49447
77.240.190.41,ipv4,77.240.0.0/16,AS24641
2a02:c206:2129:6277::1,ipv6,2a02:c206::/32,AS51167
2406:da11:169:b03:5889:28b7:486a:da79,ipv6,2406:da11::/32,AS22394
34.65.239.250,ipv4,34.65.0.0/16,AS396982
115.70.110.4,ipv4,115.70.0.0/16,AS10143
2a00:1370:8176:395f:cce0:8998:f982:9b5e,ipv6,2a00:1370::/32,AS25513
54.146.220.99,ipv4,54.146.0.0/16,AS14618
79.77.133.30,ipv4,79.77.0.0/16,AS9105
110.23.64.251,ipv4,110.23.0.0/16,AS4804
51.81.56.15,ipv4,51.81.0.0/16,AS16276
103.99.169.120,ipv4,103.99.0.0/16,AS54415
52.2.198.221,ipv4,52.2.0.0/16,AS8987
35.236.139.60,ipv4,35.236.0.0/16,AS15169
84.7.219.130,ipv4,84.7.0.0/16,AS198949
